Year,Country,Product,iso3code,hhi,Stability value,CRI score,Domestic Production Value
2000,BULGARIA,MANGANESE,BGR,0.0606198444986768,0.38,101.0,0.0
2000,BULGARIA,MOLYBDENUM,BGR,0.0606198444986768,0.38,101.0,
2000,BULGARIA,SILVER,BGR,0.0606198444986768,0.38,101.0,54534.0
2000,BULGARIA,ZINC,BGR,0.0606198444986768,0.38,101.0,10100.0
2000,BULGARIA,COAL,BGR,0.0606198444986768,0.38,101.0,26431978.75029878
2000,BAHRAIN,NATURAL GAS,BHR,0.0391922321208973,0.06,118.0,6697682.11
2000,"BAHAMAS, THE",,BHS,0.142456743814701,1.28,,
2000,BOSNIA AND HERZEGOVINA,,BIH,,-0.53,,
2000,BELARUS,,BLR,0.318698558526971,0.14,118.0,
2000,BELIZE,,BLZ,0.153183029249141,0.18,118.0,
2000,BERMUDA,,BMU,,0.71,,
2000,BOLIVIA,,BOL,0.105066732290743,-0.24,19.67,
2000,BRAZIL,ALUMINIUM,BRA,0.0791401708437871,0.18,33.67,13974480.0
2000,BRAZIL,ANTIMONY,BRA,0.0791401708437871,0.18,33.67,
2000,BRAZIL,ASBESTOS,BRA,0.0791401708437871,0.18,33.67,209332.0
2000,BRAZIL,BARYTES,BRA,0.0791401708437871,0.18,33.67,54100.0
2000,BRAZIL,CADMIUM,BRA,0.0791401708437871,0.18,33.67,135.0
2000,BRAZIL,CHROMIUM,BRA,0.0791401708437871,0.18,33.67,600000.0
2000,BRAZIL,COBALT,BRA,0.0791401708437871,0.18,33.67,4100.0
2000,BRAZIL,COPPER,BRA,0.0791401708437871,0.18,33.67,31786.0
2000,BRAZIL,GOLD,BRA,0.0791401708437871,0.18,33.67,50393.0
2000,BRAZIL,GRAPHITE,BRA,0.0791401708437871,0.18,33.67,71208.0
2000,BRAZIL,IRON,BRA,0.0791401708437871,0.18,33.67,210000000.0
2000,BRAZIL,LEAD,BRA,0.0791401708437871,0.18,33.67,8832.0
2000,BRAZIL,LITHIUM,BRA,0.0791401708437871,0.18,33.67,10873.0
2000,BRAZIL,MAGNESITE,BRA,0.0791401708437871,0.18,33.67,279876.0
2000,BRAZIL,MAGNESIUM,BRA,0.0791401708437871,0.18,33.67,5723.0
2000,BRAZIL,MANGANESE,BRA,0.0791401708437871,0.18,33.67,2192000.0
2000,BRAZIL,MOLYBDENUM,BRA,0.0791401708437871,0.18,33.67,
2000,BRAZIL,NICKEL,BRA,0.0791401708437871,0.18,33.67,45317.0
2000,BRAZIL,RARE EARTH,BRA,0.0791401708437871,0.18,33.67,200.0
2000,BRAZIL,SILVER,BRA,0.0791401708437871,0.18,33.67,10000.0
2000,BRAZIL,TIN,BRA,0.0791401708437871,0.18,33.67,14200.0
2000,BRAZIL,TITANIUM,BRA,0.0791401708437871,0.18,33.67,123000.0
2000,BRAZIL,TUNGSTEN,BRA,0.0791401708437871,0.18,33.67,18.0
2000,BRAZIL,URANIUM,BRA,0.0791401708437871,0.18,33.67,50.0
2000,BRAZIL,ZINC,BRA,0.0791401708437871,0.18,33.67,100254.0
2000,BRAZIL,ZIRCONIUM,BRA,0.0791401708437871,0.18,33.67,28335.0
2000,BRAZIL,COAL,BRA,0.0791401708437871,0.18,33.67,6696842.0
2000,BRAZIL,NATURAL GAS,BRA,0.0791401708437871,0.18,33.67,5628090.5714204
2000,BRAZIL,PETROLEUM,BRA,0.0791401708437871,0.18,33.67,67089034.53231575
2000,BARBADOS,,BRB,0.387259294318461,1.15,118.0,
2000,BRUNEI,,BRN,,,,
2000,BHUTAN,IRON,BTN,,0.49,118.0,
2000,BOTSWANA,COBALT,BWA,0.577208042352126,1.07,99.83,308.0
2000,BOTSWANA,COPPER,BWA,0.577208042352126,1.07,99.83,18722.0
2000,BOTSWANA,GOLD,BWA,0.577208042352126,1.07,99.83,4.0
2000,BOTSWANA,MANGANESE,BWA,0.577208042352126,1.07,99.83,
2000,BOTSWANA,NICKEL,BWA,0.577208042352126,1.07,99.83,21446.0
2000,BOTSWANA,SILVER,BWA,0.577208042352126,1.07,99.83,
2000,ANDEAN TRADE PREFERENCE ACT 2009,,C01,,,,
2000,ASEAN-AUSTRALIA-NEW ZEALAND FREE TRADE AREA,,C02,,,,
2000,"HONG KONG, KOREA REP., TAIWAN",,C03,,,,
2000,ANDEAN TRADE PREFERENCE ACT 2010,,C04,,,,
2000,CENTRAL AFRICAN REPUBLIC,,CAF,0.534837508931028,-1.12,,
2000,CANADA,ANTIMONY,CAN,0.640174047151861,1.17,65.67,433.0
2000,CANADA,BARYTES,CAN,0.640174047151861,1.17,65.67,15000.0
2000,CANADA,BISMUTH,CAN,0.640174047151861,1.17,65.67,243.0
2000,CANADA,CADMIUM,CAN,0.640174047151861,1.17,65.67,1941.0
2000,CANADA,COBALT,CAN,0.640174047151861,1.17,65.67,5298.0
2000,CANADA,COPPER,CAN,0.640174047151861,1.17,65.67,633855.0
2000,CANADA,GOLD,CAN,0.640174047151861,1.17,65.67,155538.0
2000,CANADA,GRAPHITE,CAN,0.640174047151861,1.17,65.67,22610.0
2000,CANADA,IRON,CAN,0.640174047151861,1.17,65.67,36740000.0
2000,CANADA,LEAD,CAN,0.640174047151861,1.17,65.67,148769.0
2000,CANADA,LITHIUM,CAN,0.640174047151861,1.17,65.67,22500.0
2000,CANADA,MAGNESITE,CAN,0.640174047151861,1.17,65.67,165000.0
2000,CANADA,MAGNESIUM,CAN,0.640174047151861,1.17,65.67,64000.0
2000,CANADA,MERCURY,CAN,0.640174047151861,1.17,65.67,0.0
2000,CANADA,MOLYBDENUM,CAN,0.640174047151861,1.17,65.67,7457.0
2000,CANADA,NICKEL,CAN,0.640174047151861,1.17,65.67,190793.0
2000,CANADA,SILVER,CAN,0.640174047151861,1.17,65.67,1212386.0
2000,CANADA,TIN,CAN,0.640174047151861,1.17,65.67,
2000,CANADA,TITANIUM,CAN,0.640174047151861,1.17,65.67,2100000.0
2000,CANADA,TUNGSTEN,CAN,0.640174047151861,1.17,65.67,0.0
2000,CANADA,URANIUM,CAN,0.640174047151861,1.17,65.67,10683.0
2000,CANADA,ZINC,CAN,0.640174047151861,1.17,65.67,1002242.0
2000,CANADA,COAL,CAN,0.640174047151861,1.17,65.67,69104300.00000001
2000,CANADA,NATURAL GAS,CAN,0.640174047151861,1.17,65.67,128702412.75
2000,CANADA,PETROLEUM,CAN,0.640174047151861,1.17,65.67,125085849.94877908
2000,SWITZERLAND,,CHE,0.0689872649374615,1.58,85.5,
2000,CHILE,BARYTES,CHL,0.0664445289264305,0.49,33.0,1026.0
2000,CHILE,COPPER,CHL,0.0664445289264305,0.49,33.0,4602000.0
2000,CHILE,GOLD,CHL,0.0664445289264305,0.49,33.0,54143.0
2000,CHILE,IRON,CHL,0.0664445289264305,0.49,33.0,8728927.0
2000,CHILE,LEAD,CHL,0.0664445289264305,0.49,33.0,785.0
2000,CHILE,LITHIUM,CHL,0.0664445289264305,0.49,33.0,35869.0
2000,CHILE,MANGANESE,CHL,0.0664445289264305,0.49,33.0,41716.0
